2025-12-25 10:44:11,302 - INFO - Usage log: Node GEN. GCB FAILURE PROTECTION CH.B, completion_usage: {'completion_tokens': 24, 'prompt_tokens': 478, 'total_tokens': 502, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3619048595428467}
2025-12-25 10:44:11,303 - INFO - Usage log: Node 101, completion_usage: {'completion_tokens': 18, 'prompt_tokens': 477, 'total_tokens': 495, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.29221224784851074}
2025-12-25 10:44:11,304 - INFO - Usage log: Node SGC.HEFEI_1.01LAC20BG112, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 486, 'total_tokens': 503, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2782742977142334}
2025-12-25 10:44:11,304 - INFO - Usage log: Node YIXING_2电厂20号机组, completion_usage: {'completion_tokens': 23, 'prompt_tokens': 477, 'total_tokens': 500, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.32506752014160156}
2025-12-25 10:44:11,305 - INFO - Usage log: Node BG, completion_usage: {'completion_tokens': 21, 'prompt_tokens': 469, 'total_tokens': 490, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.28574061393737793}
2025-12-25 10:44:11,306 - INFO - Usage log: Node YB01, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 473, 'total_tokens': 493, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.27727818489074707}
2025-12-25 10:44:11,306 - INFO - Usage log: Node A232203OUT, completion_usage: {'completion_tokens': 15, 'prompt_tokens': 483, 'total_tokens': 498, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.21106982231140137}
2025-12-25 10:44:11,979 - INFO - Usage log: Node SGC.HEFEI_1.01LAC20BG114, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 486, 'total_tokens': 503, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2718021869659424}
2025-12-25 10:44:11,980 - INFO - Usage log: Node SGC.HEFEI_1.01LAC20BG113, completion_usage: {'completion_tokens': 17, 'prompt_tokens': 486, 'total_tokens': 503, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.2832522392272949}
2025-12-25 10:44:11,981 - INFO - Usage log: Node FENGQUAN_2电厂20号机组, completion_usage: {'completion_tokens': 20, 'prompt_tokens': 479, 'total_tokens': 499, 'completion_tokens_details': None, 'prompt_tokens_details': None, 'time': 0.3190944194793701}
